feature,coef,abs_coef
intercept,6.772206666680916,6.772206666680916
cat__sup_country_Canada,1.3212381547218681,1.3212381547218681
num__prior_max_amount,1.2534418853537708,1.2534418853537708
cat__sup_acquisition_channel_SocialMedia,0.8724525684712305,0.8724525684712305
cat__sup_country_Singapore,-0.8676301740768002,0.8676301740768002
num__prior_roll3_mean,-0.8558770928978054,0.8558770928978054
num__prior_sum_amount,-0.6355681869609652,0.6355681869609652
num__prior_std_amount,-0.566707229231235,0.566707229231235
num__target_donation_quarter,0.5113683503272675,0.5113683503272675
num__target_donation_month,-0.46894679339033535,0.46894679339033535
cat__sup_acquisition_channel_PartnerReferral,-0.40005635096625736,0.40005635096625736
cat__sup_acquisition_channel_Website,-0.3493835944194469,0.3493835944194469
cat__sup_country_USA,-0.3487921994442281,0.3487921994442281
num__prior_mean_amount,0.28057815572311706,0.28057815572311706
cat__sup_acquisition_channel_Event,-0.25530275705268024,0.25530275705268024
num__prior_distinct_campaigns,0.25069421659814956,0.25069421659814956
cat__sup_supporter_type_SkillsContributor,0.2177653661906368,0.2177653661906368
num__prior_recurring_any,-0.20767637138651776,0.20767637138651776
num__prior_mean_share_prog_Operations,0.1953972285400269,0.1953972285400269
cat__sup_acquisition_channel_Church,0.19361434949636114,0.19361434949636114
cat__sup_relationship_type_Local,-0.1590761372659527,0.1590761372659527
num__prior_freq_per_month,-0.14898235566763,0.14898235566763
cat__sup_region_Mindanao,0.12426441935977964,0.12426441935977964
num__prior_mean_share_sh_2,-0.1178836207946552,0.1178836207946552
cat__sup_relationship_type_International,0.10481578120083912,0.10481578120083912
cat__sup_country_Philippines,-0.10481578120083812,0.10481578120083812
cat__sup_supporter_type_InKindDonor,-0.10371342037640933,0.10371342037640933
num__prior_mean_share_sh_8,0.10294211074015437,0.10294211074015437
num__prior_mean_share_prog_Outreach,-0.09679559505185742,0.09679559505185742
cat__sup_supporter_type_Volunteer,-0.08640506343818505,0.08640506343818505
cat__sup_region_Visayas,-0.08036372355135746,0.08036372355135746
num__prior_mean_share_sh_9,-0.0802513515088307,0.0802513515088307
num__prior_distinct_channels,0.07310085507137565,0.07310085507137565
num__prior_n_monetary,0.06974123062509203,0.06974123062509203
num__prior_mean_share_sh_3,0.06449570724058952,0.06449570724058952
cat__sup_acquisition_channel_WordOfMouth,-0.06132421552920625,0.06132421552920625
num__prior_mean_share_prog_Education,-0.055173731570366896,0.055173731570366896
cat__sup_relationship_type_PartnerOrganization,0.05426035606511448,0.05426035606511448
cat__sup_supporter_type_PartnerOrganization,-0.0534478499437861,0.0534478499437861
num__prior_last_amount,0.0517182897917692,0.0517182897917692
num__prior_mean_share_prog_Wellbeing,-0.050264123622670936,0.050264123622670936
num__prior_mean_share_prog_Transport,-0.04958185679597277,0.04958185679597277
cat__sup_region_Luzon,-0.0439006958084216,0.0439006958084216
cat__sup_supporter_type_SocialMediaAdvocate,0.04053759772961607,0.04053759772961607
num__prior_mean_share_sh_7,0.029765528786189835,0.029765528786189835
num__prior_mean_share_sh_5,0.0283239450732945,0.0283239450732945
num__prior_mean_share_prog_Maintenance,-0.02319544521159994,0.02319544521159994
num__prior_min_amount,-0.018607643045271613,0.018607643045271613
cat__sup_supporter_type_MonetaryDonor,-0.014736630161868824,0.014736630161868824
num__prior_mean_share_sh_4,-0.014701391874735847,0.014701391874735847
num__prior_span_days,0.01221485514788008,0.01221485514788008
num__prior_mean_share_sh_1,0.010648642875489028,0.010648642875489028
num__days_since_prior_donation,0.009100837373817783,0.009100837373817783
num__prior_trend_amount,-0.0020060305205441,0.0020060305205441
num__prior_mean_share_sh_6,0.0010009153214275354,0.0010009153214275354
