feature,coef,abs_coef
intercept,6.709906461292396,6.709906461292396
num__prior_mean_share_prog_Operations,0.03713755711584746,0.03713755711584746
cat__sup_acquisition_channel_SocialMedia,0.028407995300136494,0.028407995300136494
num__target_donation_quarter,0.02702847344249697,0.02702847344249697
num__prior_std_amount,0.024465426625673064,0.024465426625673064
num__target_donation_month,0.024231928740592434,0.024231928740592434
num__prior_trend_amount,0.022070630486251897,0.022070630486251897
num__prior_mean_amount,0.020122039444814638,0.020122039444814638
num__prior_last_amount,0.019885247115438574,0.019885247115438574
cat__sup_acquisition_channel_Website,-0.017796469804870655,0.017796469804870655
num__prior_mean_share_prog_Outreach,-0.01693303813140224,0.01693303813140224
num__prior_freq_per_month,-0.016535473698169656,0.016535473698169656
num__prior_mean_share_prog_Education,-0.016177489866392166,0.016177489866392166
cat__sup_supporter_type_MonetaryDonor,0.015460566476569322,0.015460566476569322
num__prior_recurring_any,-0.015423768982797851,0.015423768982797851
num__prior_roll3_mean,0.015154909518478973,0.015154909518478973
num__days_since_prior_donation,0.014584719346926456,0.014584719346926456
cat__sup_acquisition_channel_Event,-0.014314401399855585,0.014314401399855585
num__prior_mean_share_prog_Transport,-0.012864639314039705,0.012864639314039705
cat__sup_region_Luzon,0.012278090571942825,0.012278090571942825
cat__sup_supporter_type_InKindDonor,-0.011799462835069866,0.011799462835069866
num__prior_mean_share_prog_Wellbeing,-0.010751743857626742,0.010751743857626742
num__prior_mean_share_prog_Maintenance,0.008424869325909783,0.008424869325909783
cat__sup_relationship_type_Local,-0.007726069628261837,0.007726069628261837
cat__sup_supporter_type_SkillsContributor,-0.007496657626477217,0.007496657626477217
cat__sup_region_Mindanao,-0.007162743443131216,0.007162743443131216
num__prior_distinct_campaigns,0.006228685571203536,0.006228685571203536
cat__sup_country_Philippines,-0.005932827519786215,0.005932827519786215
cat__sup_relationship_type_International,0.005932827519786211,0.005932827519786211
cat__sup_supporter_type_Volunteer,0.005508000559330908,0.005508000559330908
cat__sup_country_USA,0.00523376830231202,0.00523376830231202
cat__sup_region_Visayas,-0.005115347128811616,0.005115347128811616
cat__sup_acquisition_channel_WordOfMouth,0.0046324010342342365,0.0046324010342342365
num__prior_n_monetary,-0.004122784363704502,0.004122784363704502
cat__sup_country_Canada,0.004088474736775826,0.004088474736775826
cat__sup_country_Singapore,-0.003389415519301629,0.003389415519301629
cat__sup_acquisition_channel_PartnerReferral,-0.0028211951967842654,0.0028211951967842654
num__prior_distinct_channels,-0.0027951922680739525,0.0027951922680739525
num__prior_span_days,0.0019407205827154446,0.0019407205827154446
cat__sup_acquisition_channel_Church,0.0018916700671397781,0.0018916700671397781
cat__sup_relationship_type_PartnerOrganization,0.0017932421084756209,0.0017932421084756209
cat__sup_supporter_type_PartnerOrganization,-0.0016143190687759347,0.0016143190687759347
cat__sup_supporter_type_SocialMediaAdvocate,-5.812750557721424e-05,5.812750557721424e-05
