feature,importance
num__pr_gap_mean_days,0.1270691891747734
num__days_in_program_at_window_end,0.10668827924816171
num__pr_concern_rate,0.08965629531886661
num__stay_years_approx,0.07513399276553581
num__pr_days_since_last,0.07217132752888351
num__pr_mean_duration,0.05603766088905873
num__age_at_admission_years,0.05497669966964365
num__pr_mean_emotional_delta,0.043181898837494265
num__initial_risk_ord,0.0411220585479751
cat__case_category_Neglected,0.040772952132132924
cat__case_category_Surrendered,0.035023121454926136
num__hv_favorable_rate,0.025356329389272843
num__hv_visits_prior,0.023896044892050262
cat__region_Visayas,0.023720096403316484
num__pr_sessions_prior,0.02353726049832845
cat__case_category_Foundling,0.022463633437922105
num__ip_achieved_rate,0.019286523639388636
num__pr_referral_rate,0.016747652964413332
num__sub_cat_osaec,0.013448677198881329
cat__initial_case_assessment_For Foster Care,0.01129174763071083
num__pr_progress_rate,0.010089142228548897
num__sub_cat_cicl,0.007255024474276679
cat__region_Luzon,0.006898853645419035
cat__region_Mindanao,0.006881393009952369
cat__initial_case_assessment_For Continued Care,0.00637237261151795
num__sub_cat_orphaned,0.005395364043897384
num__sub_cat_child_labor,0.005368548424880731
num__ip_on_hold_rate,0.0049799065978642235
cat__case_category_Abandoned,0.003956499222750139
num__sub_cat_at_risk,0.0038678550027053627
num__sub_cat_trafficked,0.0038390756128173177
cat__initial_case_assessment_For Independent Living,0.0037901215640061135
num__inc_mean_severity,0.0023137254901960834
num__sub_cat_sexual_abuse,0.002159491653649832
cat__initial_case_assessment_For Adoption,0.002076281878377086
num__hv_uncooperative_rate,0.0020430325789099766
num__sub_cat_physical_abuse,0.0011318703384947098
num__edu_mean_progress,1.2701466326022285e-17
num__edu_rows_prior,1.0996146761094231e-17
num__hw_rows_prior,8.434972471097736e-18
num__inc_count_prior,6.808362589042559e-18
num__sub_cat_child_with_hiv,5.384267296049123e-18
num__sub_cat_street_child,0.0
num__ip_plans_prior,0.0
num__hw_mean_energy,0.0
num__hw_mean_general,0.0
cat__initial_case_assessment_For Reunification,0.0
num__edu_mean_attendance,0.0
