feature,coef,abs_coef
intercept,-6.554780958488198,6.554780958488198
cat__case_category_Neglected,-3.4930978255307514,3.4930978255307514
cat__case_category_Surrendered,2.8211092449321686,2.8211092449321686
num__edu_progress_trend,-2.5560565161500257,2.5560565161500257
cat__case_category_Abandoned,2.209109467326233,2.209109467326233
num__hv_total_visits,1.8629766320249428,1.8629766320249428
num__pr_concern_rate,1.678511521603657,1.678511521603657
cat__case_category_Foundling,-1.5836950187272802,1.5836950187272802
num__days_since_enrollment,-1.4143323707083602,1.4143323707083602
num__hw_mean_general_health,1.1957883825365763,1.1957883825365763
num__ip_achieved_rate,-1.0823387262684527,1.0823387262684527
num__inc_mean_severity,1.0280211794512977,1.0280211794512977
num__pr_sessions_last_30d,0.9988187626480636,0.9988187626480636
num__pr_mean_gap_days,0.8280370294665481,0.8280370294665481
num__pr_mean_duration,0.81440602463347,0.81440602463347
num__pr_progress_rate,0.7344667682403021,0.7344667682403021
num__edu_mean_progress,-0.6792023442448115,0.6792023442448115
num__pr_emotional_improvement_trend,0.6236287572499797,0.6236287572499797
num__edu_mean_attendance,-0.5795704119194676,0.5795704119194676
num__pr_sessions_total,0.5004834581675452,0.5004834581675452
num__initial_risk_ord,-0.3853711246224426,0.3853711246224426
num__ip_overdue_count,0.3839151055193827,0.3839151055193827
num__inc_total,0.3755151930406504,0.3755151930406504
num__age_at_admission_years,0.3094619935179536,0.3094619935179536
num__hw_health_trend,-0.2525772457910542,0.2525772457910542
num__inc_last_30d,0.21122721229992772,0.21122721229992772
num__hv_family_cooperation_rate,-0.12543529445239823,0.12543529445239823
num__hv_favorable_rate,0.11892967824517722,0.11892967824517722
num__ip_total_plans,0.0,0.0
