feature,coef,abs_coef
cat__post_type_ImpactStory,2.0867649006781357,2.0867649006781357
cat__post_type_ThankYou,-1.9625773942493514,1.9625773942493514
cat__post_type_EducationalContent,-1.7749138035485077,1.7749138035485077
cat__post_type_FundraisingAppeal,1.7093087213497737,1.7093087213497737
cat__time_of_day_bucket_night,-1.4374920281899337,1.4374920281899337
num__post_hour,1.4344948532661264,1.4344948532661264
cat__post_type_EventPromotion,-1.3834879639577022,1.3834879639577022
cat__post_type_Campaign,1.2831945177229998,1.2831945177229998
cat__time_of_day_bucket_morning,1.2559062258596598,1.2559062258596598
cat__sentiment_tone_Informative,-1.165611942655265,1.165611942655265
cat__platform_post_type_YouTube|ImpactStory,1.120949024476235,1.120949024476235
intercept,-1.0277931045555724,1.0277931045555724
num__features_resident_story,1.026362546321528,1.026362546321528
cat__platform_post_type_WhatsApp|ImpactStory,0.8157284271829073,0.8157284271829073
cat__platform_post_type_Instagram|ImpactStory,0.7972391550919372,0.7972391550919372
cat__platform_post_type_TikTok|ThankYou,-0.7810474051154142,0.7810474051154142
cat__platform_post_type_Twitter|FundraisingAppeal,0.7685425624534585,0.7685425624534585
cat__platform_post_type_LinkedIn|EventPromotion,-0.7634125283100599,0.7634125283100599
cat__platform_post_type_LinkedIn|ImpactStory,-0.6917561480093747,0.6917561480093747
cat__platform_post_type_Instagram|ThankYou,-0.6888265885811256,0.6888265885811256
cat__platform_post_type_Facebook|EventPromotion,-0.6840856649624711,0.6840856649624711
cat__platform_post_type_Facebook|EducationalContent,-0.6543326865336353,0.6543326865336353
cat__sentiment_tone_Emotional,0.6441802322190248,0.6441802322190248
cat__platform_Facebook,-0.6425976311696757,0.6425976311696757
cat__platform_post_type_infrequent_sklearn,0.6407561481236408,0.6407561481236408
cat__platform_post_type_Instagram|FundraisingAppeal,0.5950060310878826,0.5950060310878826
cat__media_type_Text,-0.5404152994583709,0.5404152994583709
cat__media_type_Video,0.5347006993283762,0.5347006993283762
cat__content_topic_CampaignLaunch,0.527382033663955,0.527382033663955
cat__sentiment_tone_Urgent,0.5060096367630478,0.5060096367630478
cat__platform_post_type_WhatsApp|EventPromotion,-0.4938450024744167,0.4938450024744167
cat__platform_post_type_Instagram|Campaign,-0.48124532793100966,0.48124532793100966
cat__content_topic_SafehouseLife,-0.4607308165024101,0.4607308165024101
cat__platform_post_type_Facebook|FundraisingAppeal,0.45706631957916277,0.45706631957916277
cat__platform_Twitter,-0.45511743813131156,0.45511743813131156
cat__sentiment_tone_Hopeful,-0.450615830563342,0.450615830563342
cat__platform_TikTok,0.445671564468916,0.445671564468916
cat__content_topic_DonorImpact,-0.4427185154321484,0.4427185154321484
cat__platform_post_type_Instagram|EducationalContent,0.44210613229703405,0.44210613229703405
cat__platform_post_type_Twitter|ImpactStory,-0.4314031619907275,0.4314031619907275
num__boost_budget_php,0.40509176791332463,0.40509176791332463
cat__content_topic_Health,0.4037165171679933,0.4037165171679933
cat__platform_post_type_Twitter|EducationalContent,-0.39765471396521357,0.39765471396521357
cat__platform_post_type_YouTube|EventPromotion,-0.3786281218150446,0.3786281218150446
cat__platform_post_type_WhatsApp|Campaign,0.3746066129429078,0.3746066129429078
cat__platform_post_type_TikTok|ImpactStory,0.37263637039547864,0.37263637039547864
cat__sentiment_tone_Celebratory,0.37022043982922426,0.37022043982922426
cat__platform_Instagram,0.36374206350710864,0.36374206350710864
num__has_call_to_action,0.3572917054620752,0.3572917054620752
cat__platform_post_type_Facebook|Campaign,0.32754969313990884,0.32754969313990884
num__campaign_present,0.3137215675241783,0.3137215675241783
cat__content_topic_Reintegration,-0.30440602638080216,0.30440602638080216
cat__platform_post_type_Instagram|EventPromotion,-0.3005373384576109,0.3005373384576109
cat__platform_YouTube,0.2280735534480307,0.2280735534480307
cat__media_type_Reel,0.22350518359748547,0.22350518359748547
cat__platform_post_type_WhatsApp|FundraisingAppeal,-0.2161796643926286,0.2161796643926286
cat__platform_post_type_WhatsApp|ThankYou,0.21520796272878784,0.21520796272878784
cat__content_topic_Education,0.21463600263003393,0.21463600263003393
cat__day_of_week_Friday,-0.20757888313513673,0.20757888313513673
cat__platform_post_type_LinkedIn|Campaign,0.2041465464153475,0.2041465464153475
cat__platform_post_type_Facebook|ThankYou,-0.19216652592431793,0.19216652592431793
cat__call_to_action_type___none__,-0.19088256537431075,0.19088256537431075
cat__platform_post_type_TikTok|FundraisingAppeal,0.18041350826146665,0.18041350826146665
cat__platform_post_type_Twitter|ThankYou,-0.17581104018744476,0.17581104018744476
cat__day_of_week_Wednesday,-0.17519964873358757,0.17519964873358757
cat__call_to_action_type_ShareStory,0.17326463674898876,0.17326463674898876
cat__day_of_week_Monday,0.16970016922329084,0.16970016922329084
cat__caption_length_bucket_long,0.16794795904900808,0.16794795904900808
cat__time_of_day_bucket_afternoon,0.1456062874153238,0.1456062874153238
cat__caption_length_bucket_medium,-0.1425138068641863,0.1425138068641863
num__log_follower_count,0.1404478698549179,0.1404478698549179
cat__media_type_Carousel,-0.13098810782266146,0.13098810782266146
cat__media_type_Photo,-0.12851349764948158,0.12851349764948158
cat__platform_post_type_Twitter|Campaign,-0.1278006995418151,0.1278006995418151
num__hashtag_density,0.12607321207974145,0.12607321207974145
