feature,coef,abs_coef
intercept,0.10009026192338971,0.10009026192338971
cat__sentiment_tone_Informative,-0.03281626891682214,0.03281626891682214
cat__time_of_day_bucket_night,-0.028365508277751104,0.028365508277751104
cat__sentiment_tone_Celebratory,0.023154697588526705,0.023154697588526705
num__post_hour,0.02197794739029916,0.02197794739029916
cat__sentiment_tone_Emotional,0.019035147974706446,0.019035147974706446
cat__time_of_day_bucket_morning,0.017462248491877597,0.017462248491877597
cat__sentiment_tone_Grateful,-0.01503764773414524,0.01503764773414524
cat__time_of_day_bucket_evening,0.012812013283285236,0.012812013283285236
num__has_call_to_action,0.008216219668539759,0.008216219668539759
cat__sentiment_tone_Urgent,0.008013800512477026,0.008013800512477026
cat__platform_Instagram,0.007062243588701989,0.007062243588701989
cat__call_to_action_type_ShareStory,0.006407188636427488,0.006407188636427488
cat__platform_post_type_Instagram|EventPromotion,0.005440931184155359,0.005440931184155359
cat__platform_post_type_Facebook|FundraisingAppeal,-0.005174545479586035,0.005174545479586035
cat__platform_post_type_WhatsApp|ImpactStory,0.0042336111713805556,0.0042336111713805556
cat__platform_Facebook,-0.004060561830687026,0.004060561830687026
cat__call_to_action_type___none__,-0.004012682648109128,0.004012682648109128
cat__content_topic_Education,-0.003973833081143597,0.003973833081143597
num__month,-0.003871068508363973,0.003871068508363973
cat__platform_WhatsApp,-0.003538466733476436,0.003538466733476436
cat__platform_post_type_Facebook|ImpactStory,0.0035178390256875142,0.0035178390256875142
cat__platform_post_type_WhatsApp|EventPromotion,-0.003476741889202124,0.003476741889202124
cat__day_of_week_Friday,0.0034287364997120182,0.0034287364997120182
cat__platform_post_type_LinkedIn|ThankYou,0.0033370126999991974,0.0033370126999991974
cat__post_type_FundraisingAppeal,0.0033085196187308966,0.0033085196187308966
cat__platform_post_type_WhatsApp|FundraisingAppeal,-0.00328787069599518,0.00328787069599518
cat__platform_post_type_Twitter|FundraisingAppeal,0.003279568948514772,0.003279568948514772
cat__platform_post_type_TikTok|FundraisingAppeal,0.0032148019838266397,0.0032148019838266397
cat__day_of_week_Tuesday,-0.0031759322204656976,0.0031759322204656976
